scorer,,,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael,Michael
individuals,,,fish1,fish1,fish1,fish1,fish1,fish1,fish2,fish2,fish2,fish2,fish2,fish2,fish3,fish3,fish3,fish3,fish3,fish3,fish4,fish4,fish4,fish4,fish4,fish4,fish5,fish5,fish5,fish5,fish5,fish5,fish6,fish6,fish6,fish6,fish6,fish6,fish7,fish7,fish7,fish7,fish7,fish7,fish8,fish8,fish8,fish8,fish8,fish8,fish9,fish9,fish9,fish9,fish9,fish9,fish10,fish10,fish10,fish10,fish10,fish10,fish11,fish11,fish11,fish11,fish11,fish11,fish12,fish12,fish12,fish12,fish12,fish12,fish13,fish13,fish13,fish13,fish13,fish13,fish14,fish14,fish14,fish14,fish14,fish14,fish15,fish15,fish15,fish15,fish15,fish15,fish16,fish16,fish16,fish16,fish16,fish16,fish17,fish17,fish17,fish17,fish17,fish17,fish18,fish18,fish18,fish18,fish18,fish18,fish19,fish19,fish19,fish19,fish19,fish19,fish20,fish20,fish20,fish20,fish20,fish20,fish21,fish21,fish21,fish21,fish21,fish21,fish22,fish22,fish22,fish22,fish22,fish22,fish23,fish23,fish23,fish23,fish23,fish23,fish24,fish24,fish24,fish24,fish24,fish24,fish25,fish25,fish25,fish25,fish25,fish25,fish26,fish26,fish26,fish26,fish26,fish26,fish27,fish27,fish27,fish27,fish27,fish27,fish28,fish28,fish28,fish28,fish28,fish28,fish29,fish29,fish29,fish29,fish29,fish29,fish30,fish30,fish30,fish30,fish30,fish30
bodyparts,,,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail,head,head,torso,torso,tail,tail
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Fish0,img001.png,,,,,,,319.33832684547485,321.5351841553664,,,,,652.0131211589738,111.46413426302206,661.7317106557726,111.46413426302206,677.4309706121401,117.44480472259059,90.57768176697891,41.938840170537986,98.80110364888563,46.42434301521439,107.77210933823844,51.65742966733686,388.8636209379589,50.1622620524447,391.85395616774315,50.1622620524447,397.8346266273117,51.65742966733686,493.525353980408,54.64776489712111,499.5060244399765,54.64776489712111,504.73911109209905,55.39534870456717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Fish0,img013.png,120.1920508393763,230.64062446305405,3.110376295789308,273.6898204788182,,,301.4686495847536,324.68637869937766,309.6465412574774,317.87146897210783,317.8244329302012,315.1455050811999,627.2213345482512,107.97224937219718,644.9400998391528,107.97224937219718,658.5699192936925,113.42417715401305,79.30259247575735,41.186134044952894,90.20644803938907,38.46017015404496,99.74732165756683,41.186134044952894,409.7959675464487,51.65742966733686,415.77663800601727,53.15259728222898,420.26214085069364,55.39534870456717,521.1859548559124,54.64776489712111,526.4190415080349,54.64776489712111,531.6521281601573,56.14293251201323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Fish0,img019.png,176.07431060298887,210.1958952812446,52.04295356667805,253.81131753577148,,,286.47584818476,321.9604148084697,301.4686495847536,320.59743286301574,316.4614509847473,320.59743286301574,,,632.5759421653761,109.96896664812994,648.2752021217435,112.21171807046812,77.12117323294976,42.68642397798408,87.58734653719466,41.191256363091924,98.80110364888563,41.191256363091924,421.0097246581397,53.900181089675044,424.74764369537,53.900181089675044,431.47589796238464,54.64776489712111,535.3900471973876,56.14293251201323,541.3707176569562,56.890516319459294,545.8562205016326,56.890516319459294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Fish0,img025.png,204.6969314575221,196.56607582670495,98.38433971211286,244.2704439175937,,,261.94217316658865,342.4051439902792,279.6609384574902,330.1383064811935,297.37970374839176,315.1455050811999,,,632.6732623300671,112.0611952085591,644.9400998391528,112.0611952085591,69.7617188575796,43.91209793586083,79.30259247575735,42.549115990406875,97.0213577666589,43.91209793586083,429.9807303474925,56.890516319459294,434.4662331921689,56.14293251201323,441.19448745918345,56.890516319459294,544.3610528867405,58.38568393435145,548.0989719239708,58.38568393435145,554.8272261909854,58.38568393435145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Fish0,img028.png,235.60894041151556,205.65969400122628,142.9085482882035,234.81546249162284,2.9756035303352952,315.1455050811999,234.68253425750936,350.583035663003,251.0383176029569,343.76812593573317,276.93497456658224,334.2272523175554,,,,,628.5843164937052,112.0611952085591,69.7617188575796,43.91209793586083,77.93961053030338,42.549115990406875,87.48048414848114,41.186134044952894,440.4469036517374,59.88085154924357,444.1848226889677,59.88085154924357,450.16549314853626,59.13326774179751,553.3320585760932,59.13326774179751,557.8175614207696,59.88085154924357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Fish0,img037.png,,,184.25220227571265,218.37378695396836,13.879459093967043,301.51568562666023,181.5262383848047,365.5758370629966,197.8820217302523,360.1239092811807,214.23780507569987,358.76092733572676,,,,,,,57.49488134849392,46.63806182676876,69.7617188575796,45.27507988131481,80.66557442121132,45.27507988131481,465.11716929745756,60.628435356689636,456.8937474155508,60.628435356689636,450.9130769559823,60.628435356689636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,Fish0,img039.png,,,218.41451284025607,214.6306996905791,13.57654960003422,289.3890804351856,168.3263977413697,375.3612182914831,183.278073890291,370.1281316393606,208.69592334345722,360.4095421425618,,,,,,,59.179161854244185,47.919510630106515,71.14050277338123,48.66709443755258,79.36392465528795,50.1622620524447,469.6026721421339,62.12360297158176,463.62200168256544,61.3760191641357,456.8937474155508,62.12360297158176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
